led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
99.4911453686,494.774850135,99.7674430868,164.674712706,318.842803282,165.769749394,320.569890507,494.123154115,25,8.70496106148
99.5005802339,494.78213516,99.7673408305,164.680807398,318.857965964,165.774779506,320.596130046,494.144635377,25,8.75532603264
99.4761977212,494.794562919,99.7777725262,164.677358779,318.847664414,165.774499933,320.57382956,494.134853917,25,8.81891202927
99.5062262468,494.780412049,99.7529798737,164.674513652,318.831104757,165.759277458,320.592069932,494.131354116,25,8.86866784096
99.4908741675,494.774666709,99.7433128759,164.687322117,318.82855154,165.761944487,320.582840162,494.139531942,25,8.9340338707
99.4852626732,494.774674536,99.754788289,164.686145532,318.82005467,165.774309986,320.573080663,494.130646662,25,8.99213504791
99.4952833271,494.776953554,99.7598055877,164.68184619,318.843108771,165.760263301,320.574694287,494.144972554,25,9.05389785767
99.4713763499,494.78472356,99.7483740672,164.668863636,318.851129692,165.782666545,320.577636099,494.137358981,25,9.10990285873
99.4921882718,494.771639015,99.7615586322,164.684991723,318.834828341,165.757708859,320.583703431,494.138496902,25,9.19689297676
99.5021957708,494.785079494,99.7620168966,164.669962214,318.836877137,165.771322834,320.558824625,494.139145716,25,9.26235294342
99.4942225843,494.792735526,99.7711069043,164.667650218,318.852642816,165.770248496,320.569545095,494.133191425,25,9.31741285324
99.5089073634,494.768255901,99.7494145029,164.667621282,318.825463635,165.758198146,320.563922269,494.130438538,25,9.37267184258
99.5078883993,494.771709206,99.7764630694,164.675503879,318.861045914,165.774198475,320.583366552,494.136180144,25,9.4553258419
99.5028394018,494.791745399,99.7565248669,164.679485386,318.836154464,165.766749556,320.577601984,494.137669837,25,9.52611804008
99.4876158967,494.772864249,99.76669747,164.674536677,318.843974998,165.768386433,320.56614057,494.130204166,25,9.59045004845
99.4927665711,494.785906567,99.743569072,164.663904913,318.816790756,165.764564246,320.580165479,494.131500205,25,9.64995789528
99.4916719066,494.796931649,99.755921,164.688283074,318.838892992,165.770432609,320.580702279,494.136285114,25,9.72348403931
99.4764379173,494.792360087,99.7597957225,164.686355075,318.839397548,165.777176255,320.579536749,494.123951096,25,9.78769993782
99.4977199613,494.787550302,99.7776340108,164.682668421,318.833531571,165.759098002,320.563071271,494.133475649,25,9.86227107048
99.4813829921,494.783996184,99.7789236241,164.691281846,318.841224311,165.744085627,320.571135269,494.125882803,25,9.92613101006
99.4967873621,494.796813023,99.7667963768,164.669861212,318.83946808,165.743160194,320.58475602,494.134626121,25,9.99357199669
99.4952963729,494.785782808,99.7559563519,164.679210437,318.845740046,165.756713342,320.594679989,494.136516716,25,10.0689558983
99.4995067373,494.787955682,99.7792312852,164.690199914,318.833506118,165.764101081,320.586432626,494.129352198,25,10.1245439053
99.4897500176,494.782594944,99.7527996961,164.691107318,318.842608348,165.748525669,320.568825649,494.143648939,25,10.1887340546
99.5145512723,494.804736175,99.7694559635,164.673799823,318.835406678,165.762385106,320.594169336,494.130887257,25,10.2438640594
99.4994122887,494.780984609,99.7519932248,164.666850223,318.837634692,165.75008593,320.560082612,494.146401055,25,10.2981648445
99.4878176929,494.787585609,99.7704799731,164.692144655,318.84930678,165.750317082,320.565259083,494.129346337,25,10.3486759663
